# Description:						
# Source:
element_name	kind	external_table	description
field_id	varchar (pk)	profile_configuration_fields:field_id	Link to field code is for
field_name	varchar	NA	Name of field
code_value	int (pk)	NA	Coded value. Together with field_id forms primary key
abbreviation	varchar	NA	Abbreviation used for coded value
description	varchar	NA	Decoded value / meaning of code
start_date	timestamp	NA	Start of validity period for indicated code
end_date	timestamp	NA	End of validity period for indicated code
