# Description:			
# Source:
element_name	kind	external_table	description
field_id	varchar (pk)	NA	primary key
field_name	varchar	NA	Name of field described by this entry
parameter	varchar	NA	Which parameter this entry if relevant for
type	int	kind:kind	The variable type used to store information on the indicated field
description	varchar	NA	Description of the indicated field
