# Description: Type of uncertainty
# Source:
element_name	kind	external_table	description
uncertainty_type	int (pk)		Primary key
name	varchar		short name describing uncertainty type (e.g. random uncertainty)
description	varchar		description of uncertainty type (e.g. uncertainty in measurement / value due uncorrelated random errors )
