# Description:			
# Source: NA
element_name	kind	external_table	description
report_id	varchar (fk)	observations_table	Link to report this entry is for
observation_id	varchar (fk)	observations_table	Link to observation this entry is for. Set to NULL / NA if entry for report level QC
qc_method	int (fk)	qc_method	Link to table describing QC method used to set this flag
qc_flag	int (fk)	qc_flag	0 pass, 1 fail
