# Description:
# Source: NA
element_name	kind	external_table	description
station_primary_id	varchar (fk)	station_configuration	Link to station for which this entry corresponds
record_number	int (fk)	station_configuration	Link to station for which this entry corresponds
kind	int (fk)	kind	Enumerated data type (numeric, int, etc)
field	varchar (fk)	station_configuration_fields	Field that this entry corresponds to
value			Kind inherited from field 
comments	varchar	NA	Any additional comments.
