Element Name	Value [PLEASE INSERT]	Mandatory (Y/N)	Data Type	Look-up Table (table:column id) with Link	Description
observing_method		N	int	=HYPERLINK("https://github.com/glamod/common_data_model/blob/master/tables/observing_method.dat", "observing_method:method")	Method (instrumental, estimated / visual, computed) by which observation made
sampling_strategy		N	int	=HYPERLINK("https://github.com/glamod/common_data_model/blob/master/tables/sampling_strategy.dat", "sampling_strategy:strategy")	Sampling strategy used by instrument
calibration_status		N	int	=HYPERLINK("https://github.com/glamod/common_data_model/blob/master/tables/calibration_status.dat", "calibration_status:status")	Whether the sensor is in / out of calibration
calibration_date		N	timestamp		Date of last calibration
comments		N	varchar		additional comments for sensor not reportable elsewhere
date_start		N	timestamp		start date for period of validity assoiciated with this entry
date_end		N	timestamp		end date for period of validity assoiciated with this entry
optional_data		N	int	=HYPERLINK("https://github.com/glamod/common_data_model/blob/master/tables/data_present.dat", "data_present:flag")	Flag indicating if additional data available
