Element Name	Value [PLEASE INSERT]	Mandatory (Y/N)	Data Type	Look-up Table (table:column id) with Link	Description
profile_type		N	int	=HYPERLINK("https://github.com/glamod/common_data_model/blob/master/tables/profile_type.dat", "profile_type:type")	Type of profile (e.g. atmospheric or oceanic)
standard_time		N	int	=HYPERLINK("https://github.com/glamod/common_data_model/blob/master/tables/standard_time.dat", "standard_time:time")	e.g. Standard / scheduled time for launch or report, e.g. 00, 06, 12, 18 UTC
actual_time		N	timestamp		Actual report / launch time
profile_number		N	numeric		e.g. Balloon Number
comments		N	varchar		Any additional comments / footnotes
optional_data		N	int	=HYPERLINK("https://github.com/glamod/common_data_model/blob/master/tables/data_present.dat", "data_present:flag")	Flag indicating whether there is additional metadata available
